STATISTIK BILANGAN MURID MENGIKUT JANTINA DAN KAUM,,,,,,,,,,,,
,,,,,,,,,,,,
BIL,PPD,Kod Sekolah,Nama Sekolah,Melayu Bumiputera,,Cina,,India,,Lain-Lain,,JUMLAH
,,,,L,P,L,P,L,P,L,P,
1,PPD BENTONG,CBA0001,SEKOLAH KEBANGSAAN FELDA LURAH BILUT,141,123,2,,1,3,3,2,275
2,PPD BENTONG,CBA0002,SEKOLAH KEBANGSAAN LEBU,93,99,,,1,,1,2,196
3,PPD BENTONG,CBA0003,SEKOLAH KEBANGSAAN SRI LAYANG,57,68,2,4,4,5,2,,142
4,PPD BENTONG,CBA0004,SEKOLAH KEBANGSAAN TUANKU FATIMAH,345,320,,,4,4,5,3,681
5,PPD BENTONG,CBA0005,SEKOLAH KEBANGSAAN FELDA KG. SERTIK,184,168,,,3,2,,,357
6,PPD BENTONG,CBA0006,SEKOLAH KEBANGSAAN SUNGAI DUA,66,72,,,,,,,138
7,PPD BENTONG,CBA0007,SEKOLAH KEBANGSAAN KARAK,270,258,4,1,11,14,1,4,563
8,PPD BENTONG,CBA0008,SEKOLAH KEBANGSAAN JAMBU RIAS,70,93,,1,,,3,2,169
9,PPD BENTONG,CBA0009,SEKOLAH KEBANGSAAN PELANGAI,60,55,,,,,2,,117
10,PPD BENTONG,CBA0010,SEKOLAH KEBANGSAAN SIMPANG PELANGAI,102,95,,,,,3,2,202
11,PPD BENTONG,CBA0011,SEKOLAH KEBANGSAAN KG SHAFIE,39,32,,,5,4,,1,81
12,PPD BENTONG,CBA0013,SEKOLAH KEBANGSAAN JANDA BAIK,155,146,1,1,1,1,5,5,315
13,PPD BENTONG,CBA0015,SEKOLAH KEBANGSAAN (FELDA) MEMPAGA 1,137,129,,1,,,,,267
14,PPD BENTONG,CBA0016,SEKOLAH KEBANGSAAN (FELDA) KEMASUL,109,90,,,,,2,1,202
15,PPD BENTONG,CBA0017,SEKOLAH KEBANGSAAN (FELDA) MEMPAGA 2,246,249,,,,,,3,498
16,PPD BENTONG,CBA0018,SEKOLAH KEBANGSAAN LENTANG,37,33,,,,1,1,,72
17,PPD BENTONG,CBA0019,SEKOLAH KEBANGSAAN BUKIT PIATU,292,311,,,2,11,5,3,624
18,PPD BENTONG,CBA0020,SEKOLAH KEBANGSAAN (FELDA) CHEMOMOI,199,178,,,,,2,3,382
19,PPD BENTONG,CBA0021,SEKOLAH KEBANGSAAN (FELDA) SG KEMAHAL,102,79,,,,1,,1,183
